@relation 'problem-to-evaluate2023-02-2303:32:14-weka.filters.unsupervised.attribute.Remove-R1-3,18,20,65,78-79,119-120'

@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute effect_conditions_simplified numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute Maximaleffectsblack numeric
@attribute Hred-black numeric
@attribute planner {enhsp|,fast-downward|,lpg|,tamer|}
@attribute class {True,False}

@data

10,99,16,0,186,32,12,0,0,115,21470,19491,40961,75219,26912,2133,0,4333,37,175,15970,153543,2133,32,23269,249574,0.091667,10.7256,117.006,0.015002,2131,10.909,85.8369,580,10.909,26.4834,35424,117.006,1441.43,43680,117.006,1029.41,1,0.015002,0.121562,26,0.390061,3.16061,2,0.030005,0.243124,26,0.390061,3.16061,4333,48134,252330,0.190758,0.09002,4672,9.5948,0.021642,4738,9.49002,0.021642,30446,26.3771,0.043284,30512,25.1174,0.021642,2203,18808,5,94,18.799999,-18,-0.029959,1.160326,1,1,0,24.432369,36.426842,328,1088,1,320,1088,96,32,82,37,5,232,804,3.46552,150,32,50,3.46552,66,10.3923,3.46552,16,5.47723,31,0,2133,0,2,97,enhsp|,False
10,99,16,0,186,32,12,0,0,115,21470,19491,40961,75219,26912,2133,0,4333,37,175,15970,153543,2133,32,23269,249574,0.091667,10.7256,117.006,0.015002,2131,10.909,85.8369,580,10.909,26.4834,35424,117.006,1441.43,43680,117.006,1029.41,1,0.015002,0.121562,26,0.390061,3.16061,2,0.030005,0.243124,26,0.390061,3.16061,4333,48134,252330,0.190758,0.09002,4672,9.5948,0.021642,4738,9.49002,0.021642,30446,26.3771,0.043284,30512,25.1174,0.021642,2203,18808,5,94,18.799999,-18,-0.029959,1.160326,1,1,0,24.432369,36.426842,328,1088,1,320,1088,96,32,82,37,5,232,804,3.46552,150,32,50,3.46552,66,10.3923,3.46552,16,5.47723,31,0,2133,0,2,97,fast-downward|,False
10,99,16,0,186,32,12,0,0,115,21470,19491,40961,75219,26912,2133,0,4333,37,175,15970,153543,2133,32,23269,249574,0.091667,10.7256,117.006,0.015002,2131,10.909,85.8369,580,10.909,26.4834,35424,117.006,1441.43,43680,117.006,1029.41,1,0.015002,0.121562,26,0.390061,3.16061,2,0.030005,0.243124,26,0.390061,3.16061,4333,48134,252330,0.190758,0.09002,4672,9.5948,0.021642,4738,9.49002,0.021642,30446,26.3771,0.043284,30512,25.1174,0.021642,2203,18808,5,94,18.799999,-18,-0.029959,1.160326,1,1,0,24.432369,36.426842,328,1088,1,320,1088,96,32,82,37,5,232,804,3.46552,150,32,50,3.46552,66,10.3923,3.46552,16,5.47723,31,0,2133,0,2,97,lpg|,False
10,93,16,0,175,30,12,0,0,115,18867,17226,36093,66104,23606,1880,0,3823,35,165,14010,134688,1880,30,20457,218756,0.0919,10.6935,116.36,0.015957,1878,10.8814,80.6461,514,10.8814,24.9977,31044,116.36,1345.7,38304,116.36,962.884,1,0.015957,0.125311,26,0.414894,3.25808,2,0.031915,0.250622,26,0.414894,3.25808,3823,42214,221210,0.190832,0.090562,4080,9.5401,0.023051,4142,9.44249,0.023051,26562,26.1244,0.046102,26624,24.8784,0.023051,1946,16490,5,88,17.6,-17,-0.03186,1.165191,1,1,0,23.192358,34.073982,306,1020,1,300,1020,91,30,77,35,5,218,754,3.45872,141,30,47,3.45872,62,10.0499,3.45872,16,5.38516,29,0,1880,0,2,91,enhsp|,False
10,93,16,0,175,30,12,0,0,115,18867,17226,36093,66104,23606,1880,0,3823,35,165,14010,134688,1880,30,20457,218756,0.0919,10.6935,116.36,0.015957,1878,10.8814,80.6461,514,10.8814,24.9977,31044,116.36,1345.7,38304,116.36,962.884,1,0.015957,0.125311,26,0.414894,3.25808,2,0.031915,0.250622,26,0.414894,3.25808,3823,42214,221210,0.190832,0.090562,4080,9.5401,0.023051,4142,9.44249,0.023051,26562,26.1244,0.046102,26624,24.8784,0.023051,1946,16490,5,88,17.6,-17,-0.03186,1.165191,1,1,0,23.192358,34.073982,306,1020,1,300,1020,91,30,77,35,5,218,754,3.45872,141,30,47,3.45872,62,10.0499,3.45872,16,5.38516,29,0,1880,0,2,91,fast-downward|,False
10,93,16,0,175,30,12,0,0,115,18867,17226,36093,66104,23606,1880,0,3823,35,165,14010,134688,1880,30,20457,218756,0.0919,10.6935,116.36,0.015957,1878,10.8814,80.6461,514,10.8814,24.9977,31044,116.36,1345.7,38304,116.36,962.884,1,0.015957,0.125311,26,0.414894,3.25808,2,0.031915,0.250622,26,0.414894,3.25808,3823,42214,221210,0.190832,0.090562,4080,9.5401,0.023051,4142,9.44249,0.023051,26562,26.1244,0.046102,26624,24.8784,0.023051,1946,16490,5,88,17.6,-17,-0.03186,1.165191,1,1,0,23.192358,34.073982,306,1020,1,300,1020,91,30,77,35,5,218,754,3.45872,141,30,47,3.45872,62,10.0499,3.45872,16,5.38516,29,0,1880,0,2,91,lpg|,False
10,87,16,0,164,28,12,0,0,115,16432,15101,31533,57577,20516,1643,0,3345,33,155,12178,117065,1643,28,17835,189962,0.092122,10.6511,115.619,0.017042,1641,10.8551,75.456,452,10.8551,23.5107,26952,115.619,1249.91,33280,115.619,896.262,1,0.017042,0.129428,26,0.443092,3.36512,2,0.034084,0.258856,26,0.443092,3.36512,3345,36718,192324,0.190917,0.0911,3528,9.48471,0.024656,3586,9.39919,0.024656,22942,25.8648,0.049311,23000,24.6383,0.024656,1705,14324,5,82,16.4,-16,-0.034018,1.16146,1,1,0,21.284557,31.723541,284,952,1,280,952,85,28,72,33,5,204,704,3.45098,132,28,44,3.45098,58,9.64365,3.45098,16,5.38516,27,0,1643,0,2,85,enhsp|,False
10,87,16,0,164,28,12,0,0,115,16432,15101,31533,57577,20516,1643,0,3345,33,155,12178,117065,1643,28,17835,189962,0.092122,10.6511,115.619,0.017042,1641,10.8551,75.456,452,10.8551,23.5107,26952,115.619,1249.91,33280,115.619,896.262,1,0.017042,0.129428,26,0.443092,3.36512,2,0.034084,0.258856,26,0.443092,3.36512,3345,36718,192324,0.190917,0.0911,3528,9.48471,0.024656,3586,9.39919,0.024656,22942,25.8648,0.049311,23000,24.6383,0.024656,1705,14324,5,82,16.4,-16,-0.034018,1.16146,1,1,0,21.284557,31.723541,284,952,1,280,952,85,28,72,33,5,204,704,3.45098,132,28,44,3.45098,58,9.64365,3.45098,16,5.38516,27,0,1643,0,2,85,fast-downward|,False
10,87,16,0,164,28,12,0,0,115,16432,15101,31533,57577,20516,1643,0,3345,33,155,12178,117065,1643,28,17835,189962,0.092122,10.6511,115.619,0.017042,1641,10.8551,75.456,452,10.8551,23.5107,26952,115.619,1249.91,33280,115.619,896.262,1,0.017042,0.129428,26,0.443092,3.36512,2,0.034084,0.258856,26,0.443092,3.36512,3345,36718,192324,0.190917,0.0911,3528,9.48471,0.024656,3586,9.39919,0.024656,22942,25.8648,0.049311,23000,24.6383,0.024656,1705,14324,5,82,16.4,-16,-0.034018,1.16146,1,1,0,21.284557,31.723541,284,952,1,280,952,85,28,72,33,5,204,704,3.45098,132,28,44,3.45098,58,9.64365,3.45098,16,5.38516,27,0,1643,0,2,85,lpg|,False
